n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
591,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0354193671246337,-0.0943953522197566,-0.0364256216391497,0.0,2,671.8855291319445,62.98344455,-377.9645948,-86.31575056,-0.5707726398999999,0.2864574857999999,0.04297418052,0.10719999999999992,0
592,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0354457994881595,-0.094465796512458,-0.0364528049388804,0.0,2,79.86290181712972,127.5606008,380.3955324,-1.765647289,-0.1301880995,-0.1538371855,-0.06133321302,0.10727999999999997,0
593,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0354722318516854,-0.0945362408051593,-0.0364799882386111,0.0,2,74.9185360763898,147.16847040000002,-369.53138830000006,-41.5904757,0.0604295028399999,0.1416351501,-0.05516457549,0.10735999999999997,0
594,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0354986642152112,-0.0946066850978606,-0.0365071715383418,0.0,1,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743999999999995,1
595,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0355250965787371,-0.0946771293905619,-0.0365343548380725,0.0,1,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10751999999999995,1
596,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0355515289422629,-0.0947475736832632,-0.0365615381378032,0.0,1,832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10759999999999992,1
597,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0355779613057888,-0.0948180179759645,-0.0365887214375339,0.0,2,556.3748532060189,-107.3761609,-371.4839976,-79.51654783,-0.2824114566,0.5219301303,0.009521873097,0.10767999999999993,0
598,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0356043936693146,-0.0948884622686658,-0.0366159047372647,0.0,2,75.6845754282411,-109.5242196,-370.3571148,-81.86527218,0.1365866074999999,0.04835225542,-0.02520305708,0.10775999999999994,0
599,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0356308260328405,-0.0949589065613671,-0.0366430880369954,0.0,3,208.88867728009268,28.85403672,-2.846788645,-54.06525279,0.008525606774,-0.05412052219,0.09785005892,0.10783999999999994,0
600,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0356572583963663,-0.0950293508540685,-0.0366702713367261,0.0,2,66.55547589120351,-348.5201104,-207.7587014,-21.99704366,0.1688193509,0.002085860929,-0.07590894702,0.10792,0
601,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0356836907598921,-0.0950997951467697,-0.0366974546364568,0.0,2,646.9649816782413,-350.5453303,155.4371807,-101.3710939,0.5492242315,0.3469480194,0.0268316016399999,0.10799999999999987,0
